country,hs_chapter,commodity,year,export_value_usd
Afghanistan,38,38 Miscellaneous Chemical Products,2014,91650
Afghanistan,39,39 Plastics And Articles Thereof,2014,21820
Afghanistan,48,48 Paper & Paperboard & Articles (inc Papr Pulp Artl),2014,103061
Afghanistan,62,"62 Apparel Articles And Accessories, Not Knit Etc.",2014,50784
Afghanistan,68,"68 Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.",2014,14636
Afghanistan,69,69 Ceramic Products,2014,307456
Afghanistan,70,70 Glass And Glassware,2014,41138
Afghanistan,73,73 Articles Of Iron Or Steel,2014,44289
Afghanistan,83,83 Miscellaneous Articles Of Base Metal,2014,6720
Afghanistan,84,"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts",2014,6495550
Afghanistan,85,85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,2014,415138
Afghanistan,88,"88 Aircraft, Spacecraft, And Parts Thereof",2014,63056
Afghanistan,89,"89 Ships, Boats And Floating Structures",2014,14076
Afghanistan,90,"90 Optic, Photo Etc, Medic Or Surgical Instrments Etc",2014,1497018
Afghanistan,93,93 Arms And Ammunition; Parts And Accessories Thereof,2014,44182
Afghanistan,98,"98 Special Classification Provisions, Nesoi",2014,2565
Afghanistan,39,39 Plastics And Articles Thereof,2015,9400
Afghanistan,40,40 Rubber And Articles Thereof,2015,15053
Afghanistan,48,48 Paper & Paperboard & Articles (inc Papr Pulp Artl),2015,32104
Afghanistan,69,69 Ceramic Products,2015,10619
Afghanistan,70,70 Glass And Glassware,2015,92075
Afghanistan,73,73 Articles Of Iron Or Steel,2015,91550
Afghanistan,83,83 Miscellaneous Articles Of Base Metal,2015,8412
Afghanistan,84,"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts",2015,4312428
Afghanistan,85,85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,2015,413008
Afghanistan,87,"87 Vehicles, Except Railway Or Tramway, And Parts Etc",2015,61264899
Afghanistan,88,"88 Aircraft, Spacecraft, And Parts Thereof",2015,1256545
Afghanistan,90,"90 Optic, Photo Etc, Medic Or Surgical Instrments Etc",2015,395407
Afghanistan,64,"64 Footwear, Gaiters Etc. And Parts Thereof",2016,5950
Afghanistan,70,70 Glass And Glassware,2016,81172
Afghanistan,73,73 Articles Of Iron Or Steel,2016,9394
Afghanistan,75,75 Nickel And Articles Thereof,2016,92468
Afghanistan,84,"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts",2016,2407918
Afghanistan,85,85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,2016,5713899
Afghanistan,87,"87 Vehicles, Except Railway Or Tramway, And Parts Etc",2016,310571769
Afghanistan,88,"88 Aircraft, Spacecraft, And Parts Thereof",2016,5112266
Afghanistan,90,"90 Optic, Photo Etc, Medic Or Surgical Instrments Etc",2016,307148
Afghanistan,93,93 Arms And Ammunition; Parts And Accessories Thereof,2016,1932422
Afghanistan,21,21 Miscellaneous Edible Preparations,2017,96728
Afghanistan,36,36 Explosives; Pyrotechnics; Matches; Pyro Alloys Etc,2017,163573
Afghanistan,49,"49 Printed Books, Newspapers Etc; Manuscripts Etc",2017,21495
Afghanistan,64,"64 Footwear, Gaiters Etc. And Parts Thereof",2017,5270
Afghanistan,70,70 Glass And Glassware,2017,107275
Afghanistan,73,73 Articles Of Iron Or Steel,2017,39812
Afghanistan,84,"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts",2017,2818376
