company_name,parent_country,city,county,sector,operational_status,confidence,source_url,notes,data_source
ADVICS Manufacturing Indiana,Japan,Terre Haute,Vigo,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Aisin group (Aisin Brake & Chassis renamed); brake systems. Address equivalent: 10500 James Adams Rd., Terre Haute 47800.",JETRO
"AK Tube, LLC.",Japan,Columbus,Bartholomew,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
AM Stabilizers Corporation,Japan,Portage,Porter,Chemicals,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
ASF Corporation,Japan,Indianapolis,Marion,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 7941 Allison Avenue, Indianapolis 46268.",JETRO
ATTC Mfg. (Aisin Takaoka Tell City),Japan,Tell City,Perry,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 10455 State Rd. 37, Tell City 47586. Aisin group; cast iron brake parts.",JETRO
AVX Corp. / Kyocera,Japan,Indianapolis,Marion,Electronics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Kyocera group; capacitors/electronic components.,JETRO
Accordion Medical,Japan,Indianapolis,Marion,Medical/Pharma,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
"Airvac, Inc.",Japan,Rochester,Fulton,Manufacturing,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification. Address: 4217 N Old U.S. 31, Rochester 46975. In JcomplistEng but not 2022 IEDC list.",JETRO
"Aisin Chemical Indiana, LLC",Japan,Crothersville,Jackson,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Aisin group; coatings/chemicals for auto parts.,JETRO
Aisin Development of America,Japan,Seymour,Jackson,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Aisin Holdings of America,Japan,Seymour,Jackson,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Aisin group holding company / HQ for North America operations.,JETRO
Aisin Logistics Center,Japan,Franklin,Johnson,Logistics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Aisin group distribution center.,JETRO
Aisin Personnel Service,Japan,Seymour,Jackson,Services,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
"Aisin Takaoka U.S.A., Inc.",Japan,Seymour,Jackson,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Aisin group; cast iron parts.,JETRO
Aisin USA Mfg. Inc.,Japan,Seymour,Jackson,Automotive,Active,Medium,https://www.chicago.us.emb-japan.go.jp/JcomplistEng.pdf,"Address: 1700 East 4th Street, Seymour 47274. Aisin Corp. (Kariya, Japan) flagship Indiana plant. ~1,700 employees. Transmissions, chassis components.",JETRO
Aisin World Corp. of America,Japan,Seymour,Jackson,Logistics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported.,JETRO
Alpine Electronics Mfg. of America,Japan,Greenwood,Johnson,Electronics,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 421 N. Emerson Ave., Greenwood 46143. Car audio/navigation; Alps Alpine (Tokyo).",JETRO
American Fuji Seal,Japan,Jeffersonville,Clark,Manufacturing,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Fuji Seal International (Osaka); packaging films.,JETRO
"American Green Technology, Inc.",Japan,South Bend,St. Joseph,Technology,Active,Low,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,Listed in IEDC Indiana–Japan FDI directory (2022). City/details require primary source verification.,JETRO
American Keeper Corp.,Japan,New Castle,Henry,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Address: 3300 S. Commerce Dr., New Castle 47362.",JETRO
American Mitsuba Corporation,Japan,Fort Wayne,Allen,Automotive,Active,Medium,https://www.iedc.in.gov/docs/default-source/iedc-assets/fdi_japan2022-85x11.pdf,"Listed in IEDC Indiana–Japan FDI directory (2022). City confirmed from Japanese Consulate Chicago facility list. Investment details not publicly reported. Electric motors for autos; Mitsuba Corp. (Kiryu, Japan).",JETRO
